pubkey,idebt_ratio,idebt_loaded,idebt_depth,idebt_agents,trustrank,in_degree,endorsement_count
34e2f50a336fd7c5c0bd5d5cf3f261118e339f51bcbd784162210d2edf9b22cc,1.676941e-09,1,4,1,6.885185e-08,1,1
353622de6eae0100846c1dcf28919fb4f6014c2825375845288d16bef8b74fad,7.453073e-06,1,2,1,1.881699e-04,1,1
3590696def9fdf3b75d33952817f821461f1b2592d02b82d7c290a572ed6f755,1.629123e-05,1,2,1,4.293068e-04,1,1
36133a6a6c740264d5384d148883b1fd34ee7e34f90bec67b288c6f7dd48242c,1.629123e-05,1,2,1,4.293068e-04,1,1
367a87e34e64c870183b1c2319cb6ccacb39317351edc785eb7318f60e09e786,7.453073e-05,1,2,1,1.881699e-04,1,1
36a549d19759ce09ae6f2793e733236fd8a944587cce493bc7ff614404ccad52,8.936452e-06,1,2,1,4.851167e-04,1,1
36da6b81d88f80d5919b16f2890048f7af192355c3e09077e6ac7d890357996f,7.453073e-06,1,2,1,1.881699e-04,1,1
36df6186c85f3a5fa749cf6ba8de2caf049ce73e5873082863df602eec6c98ed,7.453073e-06,1,2,1,1.881699e-04,1,1
372b245b0f2238260b4b22068e3387fadf2e8231325dd9f4865d5d32737337fd,1.629123e-05,1,2,1,4.293068e-04,1,1
37b5a2e9edb1ee7e07cd02625f761efbc28782c70615343e29217cd7a1501563,7.453073e-06,1,2,1,1.881699e-04,1,1
37de1edca7b9a1efdc25523daac7e1e18e67e503dc9835b915300d760e30ca87,7.453073e-06,1,2,1,1.881699e-04,1,1
38cf9f97a7106bc79fc5ea3a0be1d60d7d827eec11e0a1b09d72820dc551b953,7.453073e-06,1,2,1,1.881699e-04,1,1
391bada170123c265e3390a47983ea9cb07a1d02f07c1e21f02744504d8d7d11,7.453073e-06,1,2,1,1.881699e-04,1,1
39a8777c296f6640299387a673f74456463df4b18742972abe945ec3fd78a257,8.936452e-06,1,2,1,4.851167e-04,1,1
3ab001c55a5e44d3e7c121641b98b49f77598387997d58ea1a20386a638bddb1,4.124516e-07,1,3,1,1.006080e-05,1,1
3abb47a8aa28fa3bdcedff475e62eb72d7bbd74506099408a88a5ac0c5c2d68a,1.629123e-05,1,2,1,4.293068e-04,1,1
3b27554e95b26deedc8e9b5d050f50bf56c56687a46f07ce09883683f292f10a,1.629123e-05,1,2,1,4.293068e-04,1,1
3b9255be93ae0fdb2cc17fe06b7ed6d681d984a78a1a95c04f991d523b46eea3,1.629123e-05,1,2,1,4.293068e-04,1,1
3d9c46703b78d6032d50fccb813044eb54cda29564078e583dd469a51a5a42d6,4.658171e-08,1,3,1,2.191735e-06,1,1
3e4ac6f864b17abe46210989ef22f986833da6fff887285ea23178853af61740,3.726537e-06,1,2,1,0.000000e+00,0,0
3e4bae8d4ce26842f9d4c0dd57080504aefebe09a616fa58f8b6a97eed33c455,7.453073e-06,1,2,1,1.881699e-04,1,1
3e6f7e177a5b9fd0fdbfca5af00dafaa796be67956bae51d5c5b68736efc2922,1.810581e-05,1,2,1,4.851167e-04,1,1
3efccbc3b1dadc578a13ddf7755aa628801be2aab86856ed995911d6f8fb834d,6.453602e-07,1,3,1,1.006080e-05,1,1
3efeb474859273f36e70e451b92729c296e80d287698a490bc24e281f942b631,1.629123e-05,1,2,1,4.293068e-04,1,1
3f0a4a3f2a1472deb134b3a732977ac94ad86ca919c65657b464a04253042d56,7.453073e-06,1,2,1,1.881699e-04,1,1
3f14c97f862d9c95fcd351cc38b2a7e40f8b78f46076b3f7e2c7a99e36320c51,7.453073e-06,1,2,1,1.881699e-04,1,1
3f22d6a2b574fcad4de04dbd1f52e7129cb23ce8f08946f3e1a4cb1b3c83735c,7.453073e-06,1,2,1,1.881699e-04,1,1
3fa23c3ac3003b1a81b7e1e9ce7d28ef6f2e876049433c2edd903cea3ba12b57,4.192354e-08,1,4,1,3.718000e-06,1,1
406a2c59cec6478fce6932c6bf5ffdc87a9d226166c6e875489924b7a71973ca,4.192354e-09,1,4,1,1.859000e-07,1,1
40959324b0ec45269888da1389d1b79673e8cdbf0bfaf52700b8525f63b7559a,1.629123e-05,1,2,1,4.293068e-04,1,1
40cd305a0ca45961c83e831c01af389d58e5856d6a792476f650c9a9f2fb90f0,7.453073e-06,1,2,1,1.881699e-04,1,1
4124244839ef0c4e5f72e2952332ce457b6286414eeff58abf44c66ac72f72ac,2.329085e-08,1,3,1,2.191735e-06,1,1
414af11f5904dd1d2a612afbe90bbe70d81c735a003a0c389c8a875f401ccde5,7.453073e-06,1,2,1,1.881699e-04,1,1
418d5c73282e95c3ffaeb6aadb416ffaa96eadc4ab2b8889cb46a494be33c51f,1.629123e-05,1,2,1,4.293068e-04,1,1
419ff1209c1001aaa8b96f0c3e083759355ef85587cefca0548ab562fb9d3be3,1.629123e-05,1,2,1,4.293068e-04,1,1
424a8065c6f516c5c199c7db8fded04a087ac45c1859b73d553eb9855d121dc0,3.726537e-06,1,2,1,1.881699e-04,1,1
424bdb97bc75c7a6f43f138a7d3cbba494b0427cdde581138e6a0623081a5c2e,7.453073e-06,1,2,1,1.881699e-04,1,1
425733b337bd83616259cdc7aaec66581816734657d3aec18a1435052dac6d5c,7.453073e-06,1,2,1,1.881699e-04,1,1
4321b073907b6e8617e42a1e73a8ade24778e519e650bbaf796c3b77ba6eafff,7.453073e-06,1,2,1,1.881699e-04,1,1
4343921ae382df52759f0270e63f00e2f9a470a1723bc9b5de625d0a7d1de5e6,7.453073e-06,1,2,1,1.881699e-04,1,1
43874600de2f9311f79b643cc6120a238131e75010115bf4d49704a90df45369,7.453073e-06,1,2,1,1.881699e-04,1,1
43bcbf7aee0a5f30e8a65e807236d921caac7fdbb0ed78f42f2452b566d0c133,7.453073e-06,1,2,1,1.881699e-04,1,1
43e03061d68c5883b08b1b2beb04dfc5ad18e8f4c5c2b01d36e2541c14d64ac4,1.787290e-05,1,2,1,4.851167e-04,1,1
44bedca8a7185e9626b5ec6efd08a03c057571a673899213d4eaddb4a213728b,7.453073e-06,1,2,1,1.881699e-04,1,1
45cb6e2f9c187685403cdd960492b721c83d9fe7b14b600cb1c0aec4b9180607,1.497269e-09,1,4,1,6.639285e-08,1,1
461f065cf47f75e55fc1ce3a4a8d1c38f3ccc9db9f0ea301d227f703f6a55707,1.629123e-05,1,2,1,4.293068e-04,1,1
46f8148444431cd166dca9311b35adda19292a72872334e41b6dce601b87956f,7.453073e-06,1,2,1,1.881699e-04,1,1
475e87d790f324a161b03cdcd518bbecb57ea26ee06f0b083212377b507ec537,0.000000e+00,0,,1,0.000000e+00,0,0
47c0a4bac48c889e2dc70678a895e7a53a2531deab2b442f58a79f24aa5c5467,0.000000e+00,0,,2,1.881699e-04,1,1
4849bbb3f067596d4170ff56c28451729c9d9c1ed23337eb8ee8daf533c570f9,4.658171e-08,1,3,1,2.191735e-06,1,1
484f39e42e354fc66fa0281ca4a35688236b3aa92a91626d77158be5cca601fa,7.453073e-06,1,2,1,1.881699e-04,1,1
